dataset_name,model_name,accuracy,f1,auc,eer,avg_embedding_time_s,throughput_fps,cpu_percent,ram_rss_mb,gpu_percent,gpu_memory_mb
LFW,facenet,1.0,1.0,0.0,0.0,2.0769226606577062e-07,4814815.779819777,1.7512437810945274,1707.13671875,,
LFW,dlib,1.0,1.0,0.0,0.0,1.8615397633626483e-07,5371897.069733391,0.48905472636815916,1797.46484375,,
LFW,buffalo_l,1.0,1.0,0.0,0.0,2.1846143891497586e-07,4577466.874550777,1.762189054726368,1973.31640625,,
LFW,adaface,0.7,0.8235294117647058,0.0,0.0,2.0461548746635136e-07,4887215.588528939,2.757213930348259,2397.79296875,,
LFW,magface,0.8,0.888888888888889,0.0,0.0,2.1230762985606605e-07,4710146.313055023,2.9333333333333336,2167.34375,,
